,Unnamed: 0,content,uuid,predictions
0,0,Business Writing Tips,60f389ce67c14028a5764d3c652e39a4,leadership and management
1,1,Disasters,8ac8e807a25046fabdd4e347816400d4,personal skills
2,2,Meditation for Dummies,f74fea23385d4a76a9b21b961e510af2,personal skills
3,3,The Cybersecurity Playbook,0bccb17f680d43f4b94d20d548149914,security
4,4,Building a StoryBrand,00fc2b1b67bd44a4959ac792926e0a21,product management
5,5,The Time Trap,f3046cef28a440ba8a38a669d6f7a858,networking and telecommunication
6,6,Saving Face,27cdff7e2c954015bed9879497864cb0,personal skills
7,7,Extinguish Burnout,4db4c1f1679c48a5af8bbe0f4817fa83,security
8,8,The Instant Sales Pro,2970acbfeb90436e8d7c5141103bb78a,product management
9,9,My Morning Routine,28a9e2fc063343e6a1da7a04fe4d07dd,personal skills
10,10,The Silo Effect,44ae9f1d8f2d4d06af461f9a7ccce832,security
11,11,Negotiate Like a Local,f1bba65d48c245e0a1df4d3bfe941b11,personal skills
12,12,Getting Past No,2813e8e0d9b5402898bf6b951114e460,personal skills
13,13,Making Remote Work Work,f5521f2685724bcfb7672b23f44e7abc,networking and telecommunication
14,14,The Gumbo Coalition,f1bfcfab6e394a47a48a0b6df619ca2b,leadership and management
15,17,NeuroSelling,99f730110b8441e788ad521e87b882da,networking and telecommunication
16,18,The Happiness Advantage,8acba55fb0be4f6dbe21fcd87e47219d,personal skills
17,19,Mindset,f63e23d3e3fe4fc1ae9812031236b214,personal skills
18,23,Gadget Consciousness,9b52816533fb44fa819bd796b94274ac,hardware
19,26,"Thinking, Fast and Slow",9c605e7e533c443ea2122446810a6eff,personal skills
20,29,Simple Habits for Complex Times,c49f3a32dad841df88614f385d76f2be,personal skills
21,31,Going Nowhere Fast,4433a550e80a4445be5e74473f3b0460,personal skills
22,32,The 12 Week Year Field Guide,cda6c3e08e3a4268833cdffe80919074,product management
23,35,Brain Rules,d6d24afa7a52433c8906ef9836d2b4bf,leadership and management
24,37,Grain Brain,5e031f28914d4a6d92405856de4f96ae,leadership and management
25,38,The Happiness Equation,10a6b0011e1049faa21558ea7c070072,personal skills
