,Unnamed: 0,content,uuid,predictions
0,0,Getting Your First WordPress Website Up in Under 24 Hours,f14b6ba108514bb4a7dcdf11e0351102,software development
1,1,Getting Started with Jenkins 2,0ea3c419d3984f9daaf6b054a310b7b9,software development
2,2,JavaScript: Getting Started,57adf40b2be54830ab9a94ffcf8ef472,software development
3,3,Core Python: Getting Started,5204d44e2f4a4e2396ad415a5ae1addb,software development
4,4,Kubernetes for Developers: Integrating Volumes and Using Multi-container Pods,808c9888da2c478f854a601d9af2991e,software development
5,5,Applying Concurrency and Multi-threading to Common Java Patterns,b239db3874c64da2930fc72e2f30fc5b,software development
6,6,Getting Started with Software Development Using Cisco DevNet,d6f759a82fd64098acf49f152a082e5c,software development
7,7,Introduction to the Cisco Certified DevNet Associate Certification,be928cf661144fd2b2d83b97bcc23abb,networking and telecommunication
8,8,Cisco Enterprise Networks: VLANs and Trunking ,58b2163c34e849fab8e603687387518f,networking and telecommunication
9,9,Consuming Cisco APIs and Understanding Application DevOps,8e03be97a0534bb8b79598b7aaebdf39,software development
10,11,AWS Certified Solutions Architect - Associate,44aea56c95314d0eadca75461e2d6634,cloud computing
11,12,Start Coding with Scratch 2.0,454c87f634b6405d851c4abe24c6ac7e,software development
12,13,Testing React Applications with Jest,883ff94ea1fa44c1931f6e86bcf9eb99,software development
13,14,Unit Testing in Angular,7a3cb03f994a4df7bfc39d2253d9f579,software development
14,15,Google Cloud Platform Fundamentals - Core Infrastructure,879ac29fb58a4d4d83410b4dd8596f0b,cloud computing
15,16,Collecting Data on AWS,603a7ec3fd6246db92c759b793b73198,cloud computing
16,17,Your Microservices Transition,0bdb39b5b6dc473d9bf478d25e5b9f6a,software development
17,18,Malware Analysis: The Big Picture,fbe9af26fbc745f79f29772818962ca7,security
18,19,DevOps: The Big Picture,00139bc7a48e4d0084beba433105ba63,software development
19,20,Cloud Computing: The Big Picture,e74d0f6e46c04424a04f42fe812f16d1,cloud computing
20,21,Cisco CCIE Routing and Switching: MPLS,60fcc041196e4a1ab799515d83cdb650,networking and telecommunication
21,22,Docker and Kubernetes: The Big Picture,b87ba3933b3c435c96e32c73deab0e5f,cloud computing
22,23,Getting Started with Kubernetes,f03ba99f5b354cf7b3f415d96d6a52d3,cloud computing
23,24,Administering Amazon Aurora on Amazon RDS,43340901598c46a6bd4263aa1fa01422,product management
24,25,Implementing User Access and Authentication with Amazon Cognito,d85c7588b7304977a6bfda13c34cb400,security
25,26,LFCE: Advanced Linux Networking,cbbcbb87cb454f46bf9961f9d6890544,networking and telecommunication
26,30,React: The Big Picture,2bd6508b34074f568eacf0f026e098f4,software development
27,31,Building a Full Stack App with React and Express,9b7e9dfdc79b40e093fe89231241da01,software development
28,32,Building an API with ASP.NET Core,772bd3aa50744bc7bffc1802ec3ca918,software development
29,33,Cypress: End-to-end JavaScript Testing,b243bf4d11904d87b1e12e34c3fab7ff,software development
30,34,Python â€“ Beyond the Basics,f5bda5ad5ef7445a8b937a407a9727b6,software development
31,36,Agile Fundamentals,eafda2231dd645939fe580a770109ae6,software development
32,37,VMware vSphere Troubleshooting: Troubleshoot Advanced Features,414802850cbd4425860ffcd83c88736f,cloud computing
33,38,vSphere 7: Configuring and Managing vSphere Storage,b92ab78b533e4827ac05e50788501445,product management
34,39,SD-WAN Architectures: The Big Picture,43fe62a6534c4379968a528adc8148ff,networking and telecommunication
35,42,Angular NgRx: Getting Started,ef2a3fe7b4b54243a29879a5a6cd15fd,software development
36,45,MongoDB Administration,869553f000f94a448754bb69a5485393,product management
37,47,Creating Web Applications with Go,656d289ce7174c859df0f683954bf7fd,software development
38,48,Working with Graph Algorithms in Python,d68cb5363e224456ae483885854ed67a,data science
39,49,Cisco Enterprise Networks: BGP and Path Control,a71429bdbe0f4d0bb240839dc4a37156,networking and telecommunication
40,50,Terraform - Getting Started,af943acd93e144ce8ba2730a46896c69,product management
41,53,Getting Started with Cisco Software-defined Access (SDA),bbf767c13c614d48856645ac3b827b37,security
42,54,Automating Networks with Ansible the Right Way,e4f3a7b5127741139a051444c8b3ce6a,networking and telecommunication
43,56,Scrum Master Fundamentals - Becoming a Great Scrum Master,a569d23cb31942a3bc44e9882fd8d9c7,software development
44,57,User Experience: The Big Picture,b29bcad6d6f54346904b7f57435fe77f,product management
45,58,Importing Data: Python Data Playbook,3e45d688f8144c999821d1288762cce0,data science
46,59,Implementing a Self-hosted Docker Registry,93cd7b8c96624e89acd6f661f83247c8,software development
47,60,XML Syntax Fundamentals,9a41c71043f8421ba74df3ea32b0a77b,software development
48,61,Getting Started with Hortonworks Data Platform,a32876dc089a442eb61931fd0bedd970,data science
49,62,Enterprise Skills in Hortonworks Data Platform,47dd6b04ee004f9e8fccf3e7ae1401f1,software development
50,63,Take Control of Your Big Data with HUE in Cloudera CDH,a6f21e04630b41fe98f4f8a5cb09c032,data science
51,65,Cloud-native Architecture: The Big Picture,830de199ab0544f0a18307402529640a,cloud computing
52,66,Artificial Intelligence: The Big Picture of AI,4d032f97aba94b4cad9f941a9ab9ac67,software development
53,67,DevSecOps: The Big Picture ,1c1632f403804c238e2edbb789550b09,security
54,68,Integrating Docker with DevOps Automated Workflows,64bfb2e5e85e42d890631635d1d22324,software development
55,69,Continuous Integration and Continuous Delivery: The Big Picture,a307d5b01d824c3eaf6e3bf412fa68d9,software development
56,70,Automating Cisco Endpoint Security Solutions Using APIs,e6b26b44480d44c698eba1bd850e0cc3,security
57,71,Cisco Core Security: Content Security with Cisco WSA & Cisco Umbrella,edd23a342761456bbf95209c132429e0,security
